series_names,release_year,ratings,synopsis,cast,director
Cobra Kai,2018,93.0,"Thirty four years after events of the 1984 All Valley Karate Tournament, a down-and-out Johnny Lawrence seeks redemption by reopening...","Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña","Josh Heald, Jon Hurwitz, Hayden Schlossberg, James Lassiter"
Rhythm + Flow,2019,95.0,"Judges Cardi B, Chance the Rapper and T.I. search for the next breakout hip-hop star in Los Angeles, New York,...","Cardi B, Chance the Rapper, Tip ""T.I."" Harris","Jesse Collins, John Legend, Mike Jackson, Ty Stiklorius"
Waffles + Mochi,2021,,"Former first lady Michelle Obama is joined by puppet pals to discover, cook and eat foods from around the world....","Michelle Obama, Piotr Michael, Michelle Zamora, Taleia Gilliam","Erika Thormahlen, Jeremy Konner, Tonia Davis, Priya Swaminathan"
Flint Town,2018,95.0,This docuseries takes a look at the state of policing in America through the experiences of the Flint (Mich.) Police...,,"Steve Golin, David Pritikin, P.G. Morgan"
Bobby Kennedy for President,2018,95.0,"Robert ""Bobby"" Kennedy led a political career that included serving as attorney general during the presidential administration of his brother,...","Peter Edelman, Paul Schrade, Harry Belafonte, Pete Hamill","Dawn Porter, Laura Michalchyshyn, Dawn Porter, Dave Sirulnick"
The House,2022,97.0,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house....","Helena Bonham Carter, Paul Kaye, Will Sharpe, Susan Wokoma","Paloma Baeza, Niki Lindroth von Bahr, Emma De Swaef, Marc James Roels"
Cheer,2020,94.0,"In the small town of Corsicana, Texas, hard-driving head cheer coach Monica Aldama demands perfection from her team of competitive...","Monica Aldama, Lexi Brumback, La'Darius Marshall, Gabi Butler","Greg Whiteley, Andrew Fried, Dane Lillegard, Jasper Thomlinson"
Never Have I Ever,2020,95.0,The complicated life of a first-generation Indian-American teenager....,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, Ramona Young","Mindy Kaling, Lang Fisher, Howard Klein, David Miner"
Dark,2017,95.0,"When two children go missing in a small German town, its sinful past is exposed along with the double lives...","Oliver Masucci, Karoline Eichhorn, Jördis Triebel, Louis Hofmann",Baran bo Odar
Dear White People,2017,86.0,"Based on the acclaimed film of the same name, this Netflix-original series follows a group of students of color at...","Logan Browning, Brandon P Bell, DeRon Horton, Antoinette Robertson","Justin Simien, Yvette Lee Bowser, Stephanie Allain, Julia Lebedev"
Sex Education,2019,95.0,"Socially awkward high school student Otis may not have much experience in the lovemaking department, but he gets good guidance...","Asa Butterfield, Gillian Anderson, Emma Mackey, Ncuti Gatwa","Jamie Campbell, Ben Taylor, Laurie Nunn"
