company_name,rating,company_type,company_headquarters,company_age,no_of_employees,other_details
Deloitte,4.0,Private,"New York,New York + 104 more",177 years old,177 years old,"Consulting, Accounting / Auditing"
Mahindra & Mahindr...,4.1,Public,"Mumbai,Maharashtra + 350 more",77 years old,77 years old,"Automobile, Industrial Equipment / Machinery, Manufacturing, Conglomerate, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 475 more",28 years old,28 years old,"Financial Services, Banking, Fortune500, Forbes Global 2000, Public, Gurgaon/Gurugram,Haryana"
Hinduja Global Sol...,3.9,Public,"Bangalore/Bengaluru,Karnataka + 68 more",22 years old,22 years old,"BPO / Call Centre, Conglomerate, Fortune500, Public, Bangalore/Bengaluru,Karnataka"
Reliance Retail,4.0,Private,"Navi Mumbai,Maharashtra + 377 more",16 years old,16 years old,"Retail, Textile & Apparel, Navi Mumbai,Maharashtra"
WNS,3.7,Private,"Mumbai,Maharashtra + 19 more",26 years old,26 years old,"BPO/KPO, Consulting, Analytics / KPO / Research, Mumbai,Maharashtra"
Samsung,4.1,Private,"Suwon-Si,Gyeonggi-Do + 388 more",84 years old,84 years old,"Consumer goods, Manufacturing, Electronics, Consumer Electronics & Appliances, Conglomerate, Forbes Global 2000"
Maruti Suzuki,4.1,Public,"New Delhi,Delhi + 341 more",39 years old,39 years old,"Automobile, Manufacturing, Fortune500, Public, New Delhi,Delhi"
DXC Technology,3.6,Public,Virginia + 49 more,31 years old,31 years old,"Consulting, Retail, Forbes Global 2000, Public"
Infosys BPM,4.0,"Bangalore/Bengaluru,Karnataka + 34 more",20 years old,10k-50k employees (India),10k-50k employees (India),"BPO/KPO, Analytics / KPO / Research, Bangalore/Bengaluru,Karnataka"
Ericsson,4.2,Private,"Kista,Stockholm + 121 more",146 years old,146 years old,"Telecom / ISP, Analytics / KPO / Research, Conglomerate, Forbes Global 2000"
Ernst & Young,3.7,Private,London + 59 more,20 years old,20 years old,"Consulting, IT Services & Consulting, Accounting / Auditing"
Bajaj Finserv,4.1,Public,Pune + 550 more,15 years old,15 years old,"Financial Services, FinTech / Payments, Fortune500, Forbes Global 2000, Public, Pune"
HSBC,4.1,Private,"Pune,Maharashtra + 48 more",20 years old,20 years old,"Financial Services, Banking, Fortune500, Forbes Global 2000, Pune,Maharashtra"
Startek,3.6,"Mumbai,Maharashtra + 46 more",5 years old,1k-5k employees (India),1k-5k employees (India),"BPO/KPO, BPO / Call Centre, IT Services & Consulting"
